네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션의류
조회기간 : 2025.02.24. ~ 2025.05.24. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","패션의류"
"2025-02-24",75
"2025-02-25",73
"2025-02-26",74
"2025-02-27",70
"2025-02-28",64
"2025-03-01",78
"2025-03-02",89
"2025-03-03",92
"2025-03-04",73
"2025-03-05",72
"2025-03-06",74
"2025-03-07",70
"2025-03-08",83
"2025-03-09",97
"2025-03-10",84
"2025-03-11",83
"2025-03-12",85
"2025-03-13",81
"2025-03-14",75
"2025-03-15",86
"2025-03-16",99
"2025-03-17",79
"2025-03-18",78
"2025-03-19",77
"2025-03-20",75
"2025-03-21",72
"2025-03-22",84
"2025-03-23",100
"2025-03-24",88
"2025-03-25",85
"2025-03-26",83
"2025-03-27",79
"2025-03-28",68
"2025-03-29",75
"2025-03-30",84
"2025-03-31",72
"2025-04-01",76
"2025-04-02",77
"2025-04-03",75
"2025-04-04",70
"2025-04-05",84
"2025-04-06",92
"2025-04-07",83
"2025-04-08",85
"2025-04-09",83
"2025-04-10",79
"2025-04-11",76
"2025-04-12",86
"2025-04-13",95
"2025-04-14",79
"2025-04-15",77
"2025-04-16",81
"2025-04-17",80
"2025-04-18",78
"2025-04-19",87
"2025-04-20",97
"2025-04-21",90
"2025-04-22",88
"2025-04-23",84
"2025-04-24",79
"2025-04-25",71
"2025-04-26",77
"2025-04-27",88
"2025-04-28",75
"2025-04-29",73
"2025-04-30",69
"2025-05-01",78
"2025-05-02",64
"2025-05-03",71
"2025-05-04",71
"2025-05-05",76
"2025-05-06",84
"2025-05-07",72
"2025-05-08",71
"2025-05-09",70
"2025-05-10",77
"2025-05-11",85
"2025-05-12",78
"2025-05-13",80
"2025-05-14",80
"2025-05-15",72
"2025-05-16",68
"2025-05-17",72
"2025-05-18",82
"2025-05-19",74
"2025-05-20",77
"2025-05-21",83
"2025-05-22",77
"2025-05-23",68
"2025-05-24",0
