네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
패션잡화
조회기간 : 2025.02.24. ~ 2025.05.24. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","패션잡화"
"2025-02-24",87
"2025-02-25",84
"2025-02-26",84
"2025-02-27",79
"2025-02-28",72
"2025-03-01",86
"2025-03-02",96
"2025-03-03",100
"2025-03-04",83
"2025-03-05",81
"2025-03-06",81
"2025-03-07",74
"2025-03-08",84
"2025-03-09",96
"2025-03-10",85
"2025-03-11",84
"2025-03-12",85
"2025-03-13",80
"2025-03-14",75
"2025-03-15",84
"2025-03-16",96
"2025-03-17",83
"2025-03-18",82
"2025-03-19",81
"2025-03-20",78
"2025-03-21",74
"2025-03-22",82
"2025-03-23",96
"2025-03-24",86
"2025-03-25",83
"2025-03-26",81
"2025-03-27",79
"2025-03-28",70
"2025-03-29",74
"2025-03-30",84
"2025-03-31",76
"2025-04-01",78
"2025-04-02",80
"2025-04-03",78
"2025-04-04",73
"2025-04-05",84
"2025-04-06",92
"2025-04-07",86
"2025-04-08",86
"2025-04-09",85
"2025-04-10",82
"2025-04-11",80
"2025-04-12",89
"2025-04-13",99
"2025-04-14",89
"2025-04-15",88
"2025-04-16",88
"2025-04-17",86
"2025-04-18",83
"2025-04-19",91
"2025-04-20",99
"2025-04-21",94
"2025-04-22",97
"2025-04-23",90
"2025-04-24",86
"2025-04-25",79
"2025-04-26",84
"2025-04-27",95
"2025-04-28",85
"2025-04-29",82
"2025-04-30",78
"2025-05-01",88
"2025-05-02",75
"2025-05-03",81
"2025-05-04",83
"2025-05-05",88
"2025-05-06",96
"2025-05-07",86
"2025-05-08",84
"2025-05-09",84
"2025-05-10",87
"2025-05-11",94
"2025-05-12",89
"2025-05-13",87
"2025-05-14",87
"2025-05-15",81
"2025-05-16",78
"2025-05-17",80
"2025-05-18",89
"2025-05-19",86
"2025-05-20",82
"2025-05-21",86
"2025-05-22",80
"2025-05-23",75
"2025-05-24",0
