네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
화장품/미용
조회기간 : 2025.02.24. ~ 2025.05.24. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","화장품/미용"
"2025-02-24",95
"2025-02-25",93
"2025-02-26",92
"2025-02-27",86
"2025-02-28",76
"2025-03-01",88
"2025-03-02",89
"2025-03-03",97
"2025-03-04",89
"2025-03-05",87
"2025-03-06",86
"2025-03-07",83
"2025-03-08",79
"2025-03-09",89
"2025-03-10",89
"2025-03-11",86
"2025-03-12",86
"2025-03-13",81
"2025-03-14",74
"2025-03-15",73
"2025-03-16",84
"2025-03-17",88
"2025-03-18",86
"2025-03-19",86
"2025-03-20",81
"2025-03-21",73
"2025-03-22",73
"2025-03-23",83
"2025-03-24",85
"2025-03-25",81
"2025-03-26",77
"2025-03-27",74
"2025-03-28",68
"2025-03-29",70
"2025-03-30",82
"2025-03-31",86
"2025-04-01",92
"2025-04-02",92
"2025-04-03",87
"2025-04-04",79
"2025-04-05",83
"2025-04-06",90
"2025-04-07",94
"2025-04-08",93
"2025-04-09",94
"2025-04-10",91
"2025-04-11",86
"2025-04-12",88
"2025-04-13",97
"2025-04-14",100
"2025-04-15",98
"2025-04-16",93
"2025-04-17",90
"2025-04-18",84
"2025-04-19",82
"2025-04-20",89
"2025-04-21",96
"2025-04-22",93
"2025-04-23",83
"2025-04-24",78
"2025-04-25",75
"2025-04-26",73
"2025-04-27",84
"2025-04-28",86
"2025-04-29",83
"2025-04-30",79
"2025-05-01",85
"2025-05-02",77
"2025-05-03",76
"2025-05-04",75
"2025-05-05",80
"2025-05-06",91
"2025-05-07",91
"2025-05-08",90
"2025-05-09",86
"2025-05-10",83
"2025-05-11",92
"2025-05-12",94
"2025-05-13",90
"2025-05-14",86
"2025-05-15",80
"2025-05-16",71
"2025-05-17",66
"2025-05-18",76
"2025-05-19",80
"2025-05-20",77
"2025-05-21",75
"2025-05-22",74
"2025-05-23",66
"2025-05-24",0
