네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
디지털/가전
조회기간 : 2025.02.24. ~ 2025.05.24. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","디지털/가전"
"2025-02-24",100
"2025-02-25",96
"2025-02-26",95
"2025-02-27",90
"2025-02-28",82
"2025-03-01",83
"2025-03-02",88
"2025-03-03",95
"2025-03-04",95
"2025-03-05",93
"2025-03-06",91
"2025-03-07",85
"2025-03-08",84
"2025-03-09",90
"2025-03-10",96
"2025-03-11",94
"2025-03-12",93
"2025-03-13",89
"2025-03-14",83
"2025-03-15",80
"2025-03-16",89
"2025-03-17",96
"2025-03-18",94
"2025-03-19",91
"2025-03-20",86
"2025-03-21",75
"2025-03-22",78
"2025-03-23",87
"2025-03-24",94
"2025-03-25",88
"2025-03-26",84
"2025-03-27",84
"2025-03-28",75
"2025-03-29",74
"2025-03-30",79
"2025-03-31",87
"2025-04-01",89
"2025-04-02",90
"2025-04-03",88
"2025-04-04",81
"2025-04-05",82
"2025-04-06",85
"2025-04-07",93
"2025-04-08",92
"2025-04-09",90
"2025-04-10",88
"2025-04-11",84
"2025-04-12",81
"2025-04-13",88
"2025-04-14",95
"2025-04-15",92
"2025-04-16",88
"2025-04-17",87
"2025-04-18",82
"2025-04-19",79
"2025-04-20",82
"2025-04-21",93
"2025-04-22",94
"2025-04-23",86
"2025-04-24",82
"2025-04-25",76
"2025-04-26",70
"2025-04-27",77
"2025-04-28",84
"2025-04-29",81
"2025-04-30",76
"2025-05-01",78
"2025-05-02",72
"2025-05-03",71
"2025-05-04",70
"2025-05-05",74
"2025-05-06",80
"2025-05-07",85
"2025-05-08",82
"2025-05-09",82
"2025-05-10",76
"2025-05-11",80
"2025-05-12",86
"2025-05-13",82
"2025-05-14",82
"2025-05-15",80
"2025-05-16",78
"2025-05-17",70
"2025-05-18",74
"2025-05-19",82
"2025-05-20",87
"2025-05-21",95
"2025-05-22",88
"2025-05-23",77
"2025-05-24",0
