네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
가구/인테리어
조회기간 : 2025.02.24. ~ 2025.05.24. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","가구/인테리어"
"2025-02-24",95
"2025-02-25",88
"2025-02-26",87
"2025-02-27",82
"2025-02-28",73
"2025-03-01",79
"2025-03-02",90
"2025-03-03",100
"2025-03-04",87
"2025-03-05",81
"2025-03-06",80
"2025-03-07",74
"2025-03-08",78
"2025-03-09",91
"2025-03-10",86
"2025-03-11",82
"2025-03-12",82
"2025-03-13",79
"2025-03-14",72
"2025-03-15",74
"2025-03-16",87
"2025-03-17",86
"2025-03-18",84
"2025-03-19",82
"2025-03-20",77
"2025-03-21",66
"2025-03-22",71
"2025-03-23",84
"2025-03-24",84
"2025-03-25",79
"2025-03-26",74
"2025-03-27",74
"2025-03-28",68
"2025-03-29",68
"2025-03-30",79
"2025-03-31",80
"2025-04-01",76
"2025-04-02",76
"2025-04-03",74
"2025-04-04",66
"2025-04-05",72
"2025-04-06",78
"2025-04-07",80
"2025-04-08",79
"2025-04-09",78
"2025-04-10",75
"2025-04-11",71
"2025-04-12",72
"2025-04-13",83
"2025-04-14",84
"2025-04-15",79
"2025-04-16",77
"2025-04-17",76
"2025-04-18",72
"2025-04-19",72
"2025-04-20",79
"2025-04-21",83
"2025-04-22",83
"2025-04-23",74
"2025-04-24",70
"2025-04-25",64
"2025-04-26",62
"2025-04-27",71
"2025-04-28",72
"2025-04-29",69
"2025-04-30",63
"2025-05-01",67
"2025-05-02",61
"2025-05-03",62
"2025-05-04",61
"2025-05-05",66
"2025-05-06",75
"2025-05-07",72
"2025-05-08",69
"2025-05-09",70
"2025-05-10",68
"2025-05-11",75
"2025-05-12",76
"2025-05-13",72
"2025-05-14",71
"2025-05-15",69
"2025-05-16",65
"2025-05-17",61
"2025-05-18",69
"2025-05-19",73
"2025-05-20",70
"2025-05-21",70
"2025-05-22",68
"2025-05-23",62
"2025-05-24",0
