네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
식품
조회기간 : 2025.02.24. ~ 2025.05.24. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","식품"
"2025-02-24",98
"2025-02-25",96
"2025-02-26",95
"2025-02-27",89
"2025-02-28",77
"2025-03-01",78
"2025-03-02",86
"2025-03-03",94
"2025-03-04",96
"2025-03-05",95
"2025-03-06",93
"2025-03-07",84
"2025-03-08",81
"2025-03-09",91
"2025-03-10",99
"2025-03-11",98
"2025-03-12",98
"2025-03-13",94
"2025-03-14",83
"2025-03-15",76
"2025-03-16",91
"2025-03-17",100
"2025-03-18",99
"2025-03-19",95
"2025-03-20",89
"2025-03-21",76
"2025-03-22",73
"2025-03-23",84
"2025-03-24",95
"2025-03-25",91
"2025-03-26",85
"2025-03-27",86
"2025-03-28",76
"2025-03-29",75
"2025-03-30",85
"2025-03-31",92
"2025-04-01",98
"2025-04-02",99
"2025-04-03",94
"2025-04-04",79
"2025-04-05",79
"2025-04-06",83
"2025-04-07",95
"2025-04-08",97
"2025-04-09",97
"2025-04-10",92
"2025-04-11",81
"2025-04-12",79
"2025-04-13",88
"2025-04-14",100
"2025-04-15",97
"2025-04-16",93
"2025-04-17",89
"2025-04-18",79
"2025-04-19",73
"2025-04-20",78
"2025-04-21",90
"2025-04-22",95
"2025-04-23",85
"2025-04-24",82
"2025-04-25",74
"2025-04-26",66
"2025-04-27",76
"2025-04-28",87
"2025-04-29",84
"2025-04-30",77
"2025-05-01",79
"2025-05-02",69
"2025-05-03",65
"2025-05-04",63
"2025-05-05",70
"2025-05-06",82
"2025-05-07",89
"2025-05-08",84
"2025-05-09",81
"2025-05-10",73
"2025-05-11",78
"2025-05-12",90
"2025-05-13",87
"2025-05-14",85
"2025-05-15",85
"2025-05-16",73
"2025-05-17",64
"2025-05-18",71
"2025-05-19",83
"2025-05-20",81
"2025-05-21",79
"2025-05-22",77
"2025-05-23",69
"2025-05-24",0
