네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
스포츠/레저
조회기간 : 2025.02.24. ~ 2025.05.24. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","스포츠/레저"
"2025-02-24",84
"2025-02-25",78
"2025-02-26",77
"2025-02-27",72
"2025-02-28",64
"2025-03-01",71
"2025-03-02",81
"2025-03-03",88
"2025-03-04",80
"2025-03-05",78
"2025-03-06",78
"2025-03-07",73
"2025-03-08",77
"2025-03-09",90
"2025-03-10",88
"2025-03-11",86
"2025-03-12",86
"2025-03-13",82
"2025-03-14",75
"2025-03-15",80
"2025-03-16",94
"2025-03-17",88
"2025-03-18",86
"2025-03-19",82
"2025-03-20",79
"2025-03-21",72
"2025-03-22",77
"2025-03-23",94
"2025-03-24",93
"2025-03-25",88
"2025-03-26",84
"2025-03-27",81
"2025-03-28",72
"2025-03-29",74
"2025-03-30",84
"2025-03-31",85
"2025-04-01",84
"2025-04-02",85
"2025-04-03",82
"2025-04-04",73
"2025-04-05",81
"2025-04-06",90
"2025-04-07",91
"2025-04-08",91
"2025-04-09",89
"2025-04-10",85
"2025-04-11",79
"2025-04-12",85
"2025-04-13",96
"2025-04-14",93
"2025-04-15",89
"2025-04-16",87
"2025-04-17",85
"2025-04-18",81
"2025-04-19",85
"2025-04-20",97
"2025-04-21",100
"2025-04-22",98
"2025-04-23",89
"2025-04-24",85
"2025-04-25",78
"2025-04-26",79
"2025-04-27",95
"2025-04-28",94
"2025-04-29",87
"2025-04-30",79
"2025-05-01",86
"2025-05-02",76
"2025-05-03",78
"2025-05-04",79
"2025-05-05",86
"2025-05-06",99
"2025-05-07",93
"2025-05-08",87
"2025-05-09",85
"2025-05-10",83
"2025-05-11",94
"2025-05-12",96
"2025-05-13",93
"2025-05-14",91
"2025-05-15",83
"2025-05-16",77
"2025-05-17",75
"2025-05-18",90
"2025-05-19",91
"2025-05-20",88
"2025-05-21",87
"2025-05-22",82
"2025-05-23",76
"2025-05-24",0
