네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
생활/건강
조회기간 : 2025.02.24. ~ 2025.05.24. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","생활/건강"
"2025-02-24",100
"2025-02-25",96
"2025-02-26",96
"2025-02-27",91
"2025-02-28",80
"2025-03-01",77
"2025-03-02",84
"2025-03-03",95
"2025-03-04",98
"2025-03-05",95
"2025-03-06",93
"2025-03-07",85
"2025-03-08",79
"2025-03-09",87
"2025-03-10",97
"2025-03-11",95
"2025-03-12",95
"2025-03-13",91
"2025-03-14",82
"2025-03-15",77
"2025-03-16",87
"2025-03-17",96
"2025-03-18",96
"2025-03-19",93
"2025-03-20",89
"2025-03-21",78
"2025-03-22",74
"2025-03-23",84
"2025-03-24",96
"2025-03-25",91
"2025-03-26",88
"2025-03-27",88
"2025-03-28",78
"2025-03-29",71
"2025-03-30",79
"2025-03-31",90
"2025-04-01",90
"2025-04-02",92
"2025-04-03",90
"2025-04-04",79
"2025-04-05",78
"2025-04-06",81
"2025-04-07",94
"2025-04-08",94
"2025-04-09",93
"2025-04-10",90
"2025-04-11",84
"2025-04-12",79
"2025-04-13",86
"2025-04-14",99
"2025-04-15",94
"2025-04-16",91
"2025-04-17",88
"2025-04-18",82
"2025-04-19",76
"2025-04-20",80
"2025-04-21",94
"2025-04-22",96
"2025-04-23",87
"2025-04-24",83
"2025-04-25",76
"2025-04-26",67
"2025-04-27",75
"2025-04-28",86
"2025-04-29",83
"2025-04-30",77
"2025-05-01",77
"2025-05-02",72
"2025-05-03",68
"2025-05-04",64
"2025-05-05",71
"2025-05-06",81
"2025-05-07",86
"2025-05-08",82
"2025-05-09",81
"2025-05-10",72
"2025-05-11",76
"2025-05-12",88
"2025-05-13",85
"2025-05-14",84
"2025-05-15",82
"2025-05-16",74
"2025-05-17",63
"2025-05-18",69
"2025-05-19",82
"2025-05-20",80
"2025-05-21",78
"2025-05-22",76
"2025-05-23",70
"2025-05-24",0
