네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
여가/생활편의
조회기간 : 2025.02.24. ~ 2025.05.24. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","여가/생활편의"
"2025-02-24",100
"2025-02-25",90
"2025-02-26",88
"2025-02-27",84
"2025-02-28",78
"2025-03-01",87
"2025-03-02",82
"2025-03-03",82
"2025-03-04",73
"2025-03-05",73
"2025-03-06",71
"2025-03-07",69
"2025-03-08",70
"2025-03-09",77
"2025-03-10",76
"2025-03-11",73
"2025-03-12",71
"2025-03-13",69
"2025-03-14",68
"2025-03-15",69
"2025-03-16",75
"2025-03-17",77
"2025-03-18",73
"2025-03-19",70
"2025-03-20",69
"2025-03-21",65
"2025-03-22",65
"2025-03-23",70
"2025-03-24",74
"2025-03-25",70
"2025-03-26",65
"2025-03-27",63
"2025-03-28",60
"2025-03-29",60
"2025-03-30",66
"2025-03-31",71
"2025-04-01",74
"2025-04-02",71
"2025-04-03",70
"2025-04-04",64
"2025-04-05",68
"2025-04-06",71
"2025-04-07",77
"2025-04-08",76
"2025-04-09",73
"2025-04-10",71
"2025-04-11",68
"2025-04-12",68
"2025-04-13",77
"2025-04-14",80
"2025-04-15",78
"2025-04-16",76
"2025-04-17",75
"2025-04-18",71
"2025-04-19",71
"2025-04-20",77
"2025-04-21",86
"2025-04-22",81
"2025-04-23",76
"2025-04-24",76
"2025-04-25",75
"2025-04-26",73
"2025-04-27",82
"2025-04-28",92
"2025-04-29",87
"2025-04-30",83
"2025-05-01",91
"2025-05-02",87
"2025-05-03",90
"2025-05-04",89
"2025-05-05",83
"2025-05-06",83
"2025-05-07",85
"2025-05-08",81
"2025-05-09",70
"2025-05-10",70
"2025-05-11",74
"2025-05-12",80
"2025-05-13",77
"2025-05-14",75
"2025-05-15",73
"2025-05-16",69
"2025-05-17",65
"2025-05-18",71
"2025-05-19",78
"2025-05-20",73
"2025-05-21",73
"2025-05-22",70
"2025-05-23",66
"2025-05-24",0
